Search,Search Count,Last Search Date
"backup-250911(155837)넥서스원  백어어어어어어어어엉ㅂ",2,134024738651656122
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 VENTUS",2,134021395915864451
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 PEMTRON",2,134021111604760323
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 PEM",2,134020529289425444
"folder: ""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=4 LSE",2,134018813328373425
"Backup-2025-08-22 (17.41.34)  LSE(MUJIN) 수리건",2,134018616292263183
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=2 S250196",2,133994657572414848
"S250555",2,133993450916300339
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 NTH",2,133991970364178707
"신규건 펌웨어 셋업",2,133990174550299516
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=2 S230967",2,133988305668732054
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=2 ATI",2,133988299812092719
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=2 ATI MASK",2,133988298372567316
